Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
26,28.000000000000004,4,0,0,0.2096,124968.01,124968.01
26,28.000000000000004,4,1,0,0.2096,124936.01,124936.01
26,28.000000000000004,4,2,0,0.2096,124904.02,124904.02
26,28.000000000000004,4,3,0,0.2096,124872.02,124872.02
26,28.000000000000004,4,4,0,0.2096,124840.03,124840.03
26,28.000000000000004,4,5,0,0.2096,124808.03,124808.03
26,28.000000000000004,4,6,0,0.2096,124776.04,124776.04
26,28.000000000000004,4,7,0,0.2096,124744.04,124744.04
26,28.000000000000004,5,8,0,0.2096,124712.05,124712.05
26,28.000000000000004,4,9,0,0.2096,124680.05,124680.05
26,28.000000000000004,5,10,0,0.2096,124677.39,124648.06
26,28.000000000000004,4,11,0,0.2096,124645.39,124616.06
26,28.000000000000004,4,12,0,0.2096,124613.4,124584.07
26,28.000000000000004,5,13,0,0.2096,124581.4,124552.08
26,28.000000000000004,4,14,0,0.2096,124549.41,124520.08
26,28.000000000000004,4,15,0,0.2096,124517.41,124488.09
26,28.000000000000004,5,16,0,0.2096,124485.42,124456.09
26,28.000000000000004,5,17,0,0.2096,124453.43,124424.1
26,28.000000000000004,4,18,0,0.2096,124421.43,124392.1
26,28.000000000000004,4,19,0,0.2096,124389.44,124360.11
26,26.0,4,20,0,0.2096,124319.56,123553.55
26,26.0,4,21,0,0.2096,124287.56,123521.55
26,26.0,4,22,0,0.2096,124255.57,123489.56
26,26.0,4,23,0,0.2096,124223.57,123457.57
26,26.0,5,24,0,0.2096,124191.58,123425.57
26,26.0,4,25,0,0.2096,124159.58,123393.58
26,26.0,4,26,0,0.2096,124127.59,123361.58
26,26.0,4,27,0,0.2096,124095.59,123329.59
26,26.0,4,28,0,0.2096,124063.6,123297.59
26,26.0,4,29,0,0.2096,124031.61,123265.6
26,27.500000000000004,4,30,0,0.202,123823.18,121603.1
