uid,step,x,y,sim_time_min
0,0,11759.0,12814.0,0
0,1,11759.0,12814.0,1
0,2,11759.0,12814.0,2
0,3,11759.0,12814.0,3
0,4,11731.972972972972,12814.0,4
0,5,11700.04054054054,12814.0,5
0,6,11667.648648648648,12814.0,6
0,7,11635.702702702703,12814.0,7
0,8,11603.945945945949,12814.0,8
0,9,11572.18918918919,12814.0,9
0,10,11540.432432432432,12814.0,10
0,11,11508.675675675677,12814.0,11
0,12,11476.297297297297,12814.0,12
0,13,11457.0,12814.0,13
0,14,11457.0,12814.0,14
0,15,11489.148648648648,12837.716216216217,15
0,16,11527.72972972973,12866.45945945946,16
0,17,11565.837837837838,12895.675675675677,17
0,18,11603.945945945949,12924.45945945946,18
0,19,11642.054054054051,12953.04054054054,19
0,20,11680.162162162162,12981.621621621622,20
0,21,11718.608108108108,13010.202702702703,21
0,22,11757.351351351352,13038.783783783783,22
0,23,11795.486486486489,13067.364864864863,23
0,24,11833.594594594597,13096.189189189188,24
0,25,11871.702702702703,13125.405405405403,25
0,26,11910.324324324323,13154.108108108108,26
0,27,11948.918918918918,13182.68918918919,27
0,28,11987.027027027028,13211.27027027027,28
0,29,12025.135135135137,13239.851351351352,29
0,30,12068.162162162162,13257.891891891892,30
0,31,12164.067567567568,13162.621621621622,31
0,32,12162.027027027028,13164.648648648648,32
0,33,12066.121621621622,13259.918918918918,33
0,34,12060.0,13266.0,34
0,35,11973.391891891892,13214.081081081082,35
0,36,11733.945945945949,13070.540540540542,36
0,37,11495.0,12927.0,37
0,38,11286.594594594597,12732.513513513515,38
0,39,11190.68918918919,12349.527027027028,39
0,40,11186.405405405403,12272.216216216217,40
0,41,11234.081081081082,12368.121621621622,41
0,42,11282.351351351352,12464.027027027028,42
0,43,11307.0,12489.378378378378,43
0,44,11307.0,12441.108108108108,44
1,0,9950.0,12663.0,0
1,1,9950.0,12615.364864864863,1
1,2,9950.0,12567.72972972973,2
1,3,9950.0,12520.094594594597,3
1,4,9950.0,12540.027027027028,4
1,5,9950.0,12571.783783783783,5
1,6,9950.0,12603.54054054054,6
1,7,9950.0,12635.297297297297,7
1,8,9950.0,12656.918918918918,8
1,9,9950.0,12609.283783783783,9
1,10,9950.0,12561.648648648648,10
1,11,9950.0,12514.013513513511,11
1,12,9950.0,12559.621621621622,12
1,13,9950.0,12607.256756756757,13
1,14,9950.0,12654.891891891892,14
1,15,9950.0,12623.472972972972,15
1,16,9950.0,12575.837837837838,16
1,17,9950.0,12528.202702702703,17
1,18,9950.0,12513.0,18
1,19,9950.0,12523.135135135137,19
