Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
37,61.0,5,0,0,0.2008,124968.01,124968.01
37,61.0,5,1,0,0.2008,124936.01,124936.01
37,61.0,4,2,0,0.2008,124904.02,124904.02
37,61.0,4,3,0,0.2008,124872.02,124872.02
37,61.0,4,4,0,0.2008,124840.03,124840.03
37,61.0,5,5,0,0.2008,124808.03,124808.03
37,61.0,4,6,0,0.2008,124776.04,124776.04
37,61.0,4,7,0,0.2008,124744.04,124744.04
37,61.0,4,8,0,0.2008,124712.05,124712.05
37,61.0,4,9,0,0.2008,124680.05,124680.05
37,60.0,4,10,0,0.2008,124610.17,123841.5
37,60.0,4,11,0,0.2008,124578.18,123809.51
37,60.0,4,12,0,0.2008,124546.19,123777.51
37,60.0,4,13,0,0.2008,124514.19,123745.52
37,60.0,4,14,0,0.2008,124482.2,123713.52
37,60.0,5,15,0,0.2008,124450.2,123681.53
37,60.0,4,16,0,0.2008,124418.21,123649.53
37,60.0,4,17,0,0.2008,124386.21,123617.54
37,60.0,4,18,0,0.2008,124354.22,123585.54
37,60.0,5,19,0,0.2008,124322.22,123553.55
37,63.5,5,20,0,0.2008,124252.34,123553.55
37,63.5,5,21,0,0.2008,124220.35,123521.55
37,63.5,5,22,0,0.2008,124188.35,123489.56
37,63.5,5,23,0,0.2008,124156.36,123457.57
37,63.5,4,24,0,0.2008,124124.37,123425.57
37,63.5,4,25,0,0.2008,124092.37,123393.58
37,63.5,5,26,0,0.2008,124060.38,123361.58
37,63.5,4,27,0,0.2008,124028.38,123329.59
37,63.5,4,28,0,0.2008,123996.39,123297.59
37,63.5,5,29,0,0.2008,123964.39,123265.6
37,62.0,4,30,0,0.2008,123961.73,123233.6
