Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
8,44.5,6,0,0,0.1427,124968.01,124968.01
8,44.5,7,1,0,0.1427,124936.01,124936.01
8,44.5,6,2,0,0.1427,124904.02,124904.02
8,44.5,6,3,0,0.1427,124872.02,124872.02
8,44.5,6,4,0,0.1427,124840.03,124840.03
8,44.5,7,5,0,0.1427,124808.03,124808.03
8,44.5,6,6,0,0.1427,124776.04,124776.04
8,44.5,7,7,0,0.1427,124744.04,124744.04
8,44.5,6,8,0,0.1427,124712.05,124712.05
8,44.5,7,9,0,0.1427,124680.05,124680.05
8,48.0,6,10,0,0.1427,124471.63,122179.0
8,48.0,6,11,0,0.1427,124439.64,122147.01
8,48.0,6,12,0,0.1427,124407.64,122115.01
8,48.0,6,13,0,0.1427,124375.65,122083.02
8,48.0,6,14,0,0.1427,124343.65,122051.03
8,48.0,6,15,0,0.1427,124311.66,122019.03
8,48.0,6,16,0,0.1427,124279.67,121987.04
8,48.0,6,17,0,0.1427,124247.67,121955.04
8,48.0,6,18,0,0.1427,124215.68,121923.05
8,48.0,6,19,0,0.1427,124183.68,121891.05
8,50.5,6,20,0,0.1427,123975.26,121891.05
8,50.5,6,21,0,0.1427,123943.27,121859.06
8,50.5,7,22,0,0.1427,123911.27,121827.06
8,50.5,6,23,0,0.1427,123879.28,121795.07
8,50.5,6,24,0,0.1427,123847.28,121763.07
8,50.5,6,25,0,0.1427,123815.29,121731.08
8,50.5,6,26,0,0.1427,123783.29,121699.09
8,50.5,6,27,0,0.1427,123751.3,121667.09
8,50.5,7,28,0,0.1427,123719.3,121635.1
8,50.5,6,29,0,0.1427,123687.31,121603.1
8,50.5,6,30,0,0.1427,123684.64,121603.1
