Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
9,23.0,4,0,0,0.303,124968.01,124968.01
9,23.0,3,1,0,0.303,124936.01,124936.01
9,23.0,3,2,0,0.303,124904.02,124904.02
9,23.0,3,3,0,0.303,124872.02,124872.02
9,23.0,3,4,0,0.303,124840.03,124840.03
9,23.0,3,5,0,0.303,124808.03,124808.03
9,23.0,3,6,0,0.303,124776.04,124776.04
9,23.0,3,7,0,0.303,124744.04,124744.04
9,23.0,3,8,0,0.303,124712.05,124712.05
9,23.0,3,9,0,0.303,124680.05,124680.05
9,22.0,3,10,0,0.303,124610.17,123841.5
9,22.0,3,11,0,0.303,124578.18,123809.51
9,22.0,3,12,0,0.303,124546.19,123777.51
9,22.0,3,13,0,0.303,124514.19,123745.52
9,22.0,3,14,0,0.303,124482.2,123713.52
9,22.0,3,15,0,0.303,124450.2,123681.53
9,22.0,3,16,0,0.303,124418.21,123649.53
9,22.0,3,17,0,0.303,124386.21,123617.54
9,22.0,3,18,0,0.303,124354.22,123585.54
9,22.0,3,19,0,0.303,124322.22,123553.55
9,22.0,3,20,0,0.303,124319.56,123553.55
9,22.0,3,21,0,0.303,124287.56,123521.55
9,22.0,3,22,0,0.303,124255.57,123489.56
9,22.0,3,23,0,0.303,124223.57,123457.57
9,22.0,3,24,0,0.303,124191.58,123425.57
9,22.0,4,25,0,0.303,124159.58,123393.58
9,22.0,3,26,0,0.303,124127.59,123361.58
9,22.0,3,27,0,0.303,124095.59,123329.59
9,22.0,3,28,0,0.303,124063.6,123297.59
9,22.0,4,29,0,0.303,124031.61,123265.6
9,19.5,3,30,0,0.2929,123823.18,121603.1
