Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
30,27.500000000000004,4,0,0,0.2965,124968.01,124968.01
30,27.500000000000004,4,1,0,0.2965,124936.01,124936.01
30,27.500000000000004,4,2,0,0.2965,124904.02,124904.02
30,27.500000000000004,4,3,0,0.2965,124872.02,124872.02
30,27.500000000000004,4,4,0,0.2965,124840.03,124840.03
30,27.500000000000004,5,5,0,0.2965,124808.03,124808.03
30,27.500000000000004,4,6,0,0.2965,124776.04,124776.04
30,27.500000000000004,6,7,0,0.2965,124744.04,124744.04
30,27.500000000000004,4,8,0,0.2965,124712.05,124712.05
30,27.500000000000004,4,9,0,0.2965,124680.05,124680.05
30,27.500000000000004,5,10,0,0.2965,124677.39,124648.06
30,27.500000000000004,4,11,0,0.2965,124645.39,124616.06
30,27.500000000000004,4,12,0,0.2965,124613.4,124584.07
30,27.500000000000004,4,13,0,0.2965,124581.4,124552.08
30,27.500000000000004,4,14,0,0.2965,124549.41,124520.08
30,27.500000000000004,4,15,0,0.2965,124517.41,124488.09
30,27.500000000000004,4,16,0,0.2965,124485.42,124456.09
30,27.500000000000004,4,17,0,0.2965,124453.43,124424.1
30,27.500000000000004,4,18,0,0.2965,124421.43,124392.1
30,27.500000000000004,4,19,0,0.2965,124389.44,124360.11
30,29.5,4,20,0,0.2932,124181.02,121891.05
30,29.5,4,21,0,0.2932,124149.02,121859.06
30,29.5,5,22,0,0.2932,124117.03,121827.06
30,29.5,5,23,0,0.2932,124085.03,121795.07
30,29.5,4,24,0,0.2932,124053.04,121763.07
30,29.5,5,25,0,0.2932,124021.04,121731.08
30,29.5,4,26,0,0.2932,123989.05,121699.09
30,29.5,4,27,0,0.2932,123957.05,121667.09
30,29.5,4,28,0,0.2932,123925.06,121635.1
30,29.5,4,29,0,0.2932,123893.06,121603.1
30,29.5,5,30,0,0.2932,123890.4,121603.1
