Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
29,30.0,3,0,0,0.3485,124968.01,124968.01
29,30.0,3,1,0,0.3485,124936.01,124936.01
29,30.0,3,2,0,0.3485,124904.02,124904.02
29,30.0,3,3,0,0.3485,124872.02,124872.02
29,30.0,3,4,0,0.3485,124840.03,124840.03
29,30.0,3,5,0,0.3485,124808.03,124808.03
29,30.0,3,6,0,0.3485,124776.04,124776.04
29,30.0,3,7,0,0.3485,124744.04,124744.04
29,30.0,3,8,0,0.3485,124712.05,124712.05
29,30.0,4,9,0,0.3485,124680.05,124680.05
29,30.0,3,10,0,0.3485,124677.39,124648.06
29,30.0,3,11,0,0.3485,124645.39,124616.06
29,30.0,3,12,0,0.3485,124613.4,124584.07
29,30.0,3,13,0,0.3485,124581.4,124552.08
29,30.0,3,14,0,0.3485,124549.41,124520.08
29,30.0,3,15,0,0.3485,124517.41,124488.09
29,30.0,3,16,0,0.3485,124485.42,124456.09
29,30.0,3,17,0,0.3485,124453.43,124424.1
29,30.0,3,18,0,0.3485,124421.43,124392.1
29,30.0,3,19,0,0.3485,124389.44,124360.11
29,28.499999999999996,4,20,0,0.3485,124319.56,123521.55
29,28.499999999999996,3,21,0,0.3485,124287.56,123489.56
29,28.499999999999996,3,22,0,0.3485,124255.57,123457.57
29,28.499999999999996,3,23,0,0.3485,124223.57,123425.57
29,28.499999999999996,3,24,0,0.3485,124191.58,123393.58
29,28.499999999999996,3,25,0,0.3485,124159.58,123361.58
29,28.499999999999996,3,26,0,0.3485,124127.59,123329.59
29,28.499999999999996,3,27,0,0.3485,124095.59,123297.59
29,28.499999999999996,3,28,0,0.3485,124063.6,123265.6
29,28.499999999999996,3,29,0,0.3485,124031.61,123233.6
29,30.5,4,30,0,0.3333,123823.18,121603.1
