Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
11,25.5,2,0,0,0.4293,124968.01,124968.01
11,25.5,2,1,0,0.4293,124936.01,124936.01
11,25.5,2,2,0,0.4293,124904.02,124904.02
11,25.5,2,3,0,0.4293,124872.02,124872.02
11,25.5,2,4,0,0.4293,124840.03,124840.03
11,25.5,2,5,0,0.4293,124808.03,124808.03
11,25.5,2,6,0,0.4293,124776.04,124776.04
11,25.5,2,7,0,0.4293,124744.04,124744.04
11,25.5,2,8,0,0.4293,124712.05,124712.05
11,25.5,2,9,0,0.4293,124680.05,124680.05
11,27.0,2,10,0,0.4293,124471.63,122179.0
11,27.0,2,11,0,0.4293,124439.64,122147.01
11,27.0,2,12,0,0.4293,124407.64,122115.01
11,27.0,2,13,0,0.4293,124375.65,122083.02
11,27.0,2,14,0,0.4293,124343.65,122051.03
11,27.0,2,15,0,0.4293,124311.66,122019.03
11,27.0,2,16,0,0.4293,124279.67,121987.04
11,27.0,2,17,0,0.4293,124247.67,121955.04
11,27.0,2,18,0,0.4293,124215.68,121923.05
11,27.0,2,19,0,0.4293,124183.68,121891.05
11,30.5,3,20,0,0.4217,123975.26,121891.05
11,30.5,2,21,0,0.4217,123943.27,121859.06
11,30.5,3,22,0,0.4217,123911.27,121827.06
11,30.5,2,23,0,0.4217,123879.28,121795.07
11,30.5,2,24,0,0.4217,123847.28,121763.07
11,30.5,2,25,0,0.4217,123815.29,121731.08
11,30.5,2,26,0,0.4217,123783.29,121699.09
11,30.5,2,27,0,0.4217,123751.3,121667.09
11,30.5,2,28,0,0.4217,123719.3,121635.1
11,30.5,2,29,0,0.4217,123687.31,121603.1
11,28.999999999999996,2,30,0,0.4035,123478.89,121603.1
