Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
10,31.0,3,0,0,0.5338,124968.01,124968.01
10,31.0,2,1,0,0.5338,124936.01,124936.01
10,31.0,2,2,0,0.5338,124904.02,124904.02
10,31.0,3,3,0,0.5338,124872.02,124872.02
10,31.0,2,4,0,0.5338,124840.03,124840.03
10,31.0,2,5,0,0.5338,124808.03,124808.03
10,31.0,3,6,0,0.5338,124776.04,124776.04
10,31.0,2,7,0,0.5338,124744.04,124744.04
10,31.0,2,8,0,0.5338,124712.05,124712.05
10,31.0,2,9,0,0.5338,124680.05,124680.05
10,33.5,2,10,0,0.553,124471.63,122179.0
10,33.5,2,11,0,0.553,124439.64,122147.01
10,33.5,2,12,0,0.553,124407.64,122115.01
10,33.5,2,13,0,0.553,124375.65,122083.02
10,33.5,2,14,0,0.553,124343.65,122051.03
10,33.5,2,15,0,0.553,124311.66,122019.03
10,33.5,2,16,0,0.553,124279.67,121987.04
10,33.5,2,17,0,0.553,124247.67,121955.04
10,33.5,2,18,0,0.553,124215.68,121923.05
10,33.5,2,19,0,0.553,124183.68,121891.05
10,47.5,3,20,0,0.4798,123975.26,121891.05
10,47.5,3,21,0,0.4798,123943.27,121859.06
10,47.5,3,22,0,0.4798,123911.27,121827.06
10,47.5,4,23,0,0.4798,123879.28,121795.07
10,47.5,3,24,0,0.4798,123847.28,121763.07
10,47.5,3,25,0,0.4798,123815.29,121731.08
10,47.5,3,26,0,0.4798,123783.29,121699.09
10,47.5,3,27,0,0.4798,123751.3,121667.09
10,47.5,3,28,0,0.4798,123719.3,121635.1
10,47.5,3,29,0,0.4798,123687.31,121603.1
10,45.5,3,30,0,0.4798,123617.43,121603.1
