Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
48,54.50000000000001,2,0,0,0.5518,124968.01,124968.01
48,54.50000000000001,2,1,0,0.5518,124936.01,124936.01
48,54.50000000000001,2,2,0,0.5518,124904.02,124904.02
48,54.50000000000001,2,3,0,0.5518,124872.02,124872.02
48,54.50000000000001,2,4,0,0.5518,124840.03,124840.03
48,54.50000000000001,2,5,0,0.5518,124808.03,124808.03
48,54.50000000000001,3,6,0,0.5518,124776.04,124776.04
48,54.50000000000001,2,7,0,0.5518,124744.04,124744.04
48,54.50000000000001,2,8,0,0.5518,124712.05,124712.05
48,54.50000000000001,2,9,0,0.5518,124680.05,124680.05
48,55.50000000000001,2,10,0,0.5313,124610.17,123841.5
48,55.50000000000001,2,11,0,0.5313,124578.18,123809.51
48,55.50000000000001,2,12,0,0.5313,124546.19,123777.51
48,55.50000000000001,2,13,0,0.5313,124514.19,123745.52
48,55.50000000000001,2,14,0,0.5313,124482.2,123713.52
48,55.50000000000001,2,15,0,0.5313,124450.2,123681.53
48,55.50000000000001,2,16,0,0.5313,124418.21,123649.53
48,55.50000000000001,2,17,0,0.5313,124386.21,123617.54
48,55.50000000000001,2,18,0,0.5313,124354.22,123585.54
48,55.50000000000001,2,19,0,0.5313,124322.22,123553.55
48,53.0,2,20,0,0.5313,124252.34,123553.55
48,53.0,2,21,0,0.5313,124220.35,123521.55
48,53.0,2,22,0,0.5313,124188.35,123489.56
48,53.0,2,23,0,0.5313,124156.36,123457.57
48,53.0,2,24,0,0.5313,124124.37,123425.57
48,53.0,2,25,0,0.5313,124092.37,123393.58
48,53.0,2,26,0,0.5313,124060.38,123361.58
48,53.0,2,27,0,0.5313,124028.38,123329.59
48,53.0,2,28,0,0.5313,123996.39,123297.59
48,53.0,2,29,0,0.5313,123964.39,123265.6
48,59.0,2,30,0,0.5028,123755.97,121603.1
