Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
12,39.5,5,0,0,0.1692,124968.01,124968.01
12,39.5,5,1,0,0.1692,124936.01,124936.01
12,39.5,5,2,0,0.1692,124904.02,124904.02
12,39.5,5,3,0,0.1692,124872.02,124872.02
12,39.5,5,4,0,0.1692,124840.03,124840.03
12,39.5,5,5,0,0.1692,124808.03,124808.03
12,39.5,5,6,0,0.1692,124776.04,124776.04
12,39.5,6,7,0,0.1692,124744.04,124744.04
12,39.5,5,8,0,0.1692,124712.05,124712.05
12,39.5,5,9,0,0.1692,124680.05,124680.05
12,40.0,5,10,0,0.1692,124610.17,123841.5
12,40.0,5,11,0,0.1692,124578.18,123809.51
12,40.0,5,12,0,0.1692,124546.19,123777.51
12,40.0,5,13,0,0.1692,124514.19,123745.52
12,40.0,5,14,0,0.1692,124482.2,123713.52
12,40.0,5,15,0,0.1692,124450.2,123681.53
12,40.0,5,16,0,0.1692,124418.21,123649.53
12,40.0,6,17,0,0.1692,124386.21,123617.54
12,40.0,5,18,0,0.1692,124354.22,123585.54
12,40.0,6,19,0,0.1692,124322.22,123553.55
12,41.0,5,20,0,0.1692,124252.34,123553.55
12,41.0,6,21,0,0.1692,124220.35,123521.55
12,41.0,5,22,0,0.1692,124188.35,123489.56
12,41.0,5,23,0,0.1692,124156.36,123457.57
12,41.0,5,24,0,0.1692,124124.37,123425.57
12,41.0,5,25,0,0.1692,124092.37,123393.58
12,41.0,5,26,0,0.1692,124060.38,123361.58
12,41.0,6,27,0,0.1692,124028.38,123329.59
12,41.0,5,28,0,0.1692,123996.39,123297.59
12,41.0,5,29,0,0.1692,123964.39,123265.6
12,39.5,6,30,0,0.1692,123894.51,123265.6
