Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
42,33.5,5,0,0,0.2475,124968.01,124968.01
42,33.5,5,1,0,0.2475,124936.01,124936.01
42,33.5,6,2,0,0.2475,124904.02,124904.02
42,33.5,5,3,0,0.2475,124872.02,124872.02
42,33.5,5,4,0,0.2475,124840.03,124840.03
42,33.5,5,5,0,0.2475,124808.03,124808.03
42,33.5,5,6,0,0.2475,124776.04,124776.04
42,33.5,5,7,0,0.2475,124744.04,124744.04
42,33.5,5,8,0,0.2475,124712.05,124712.05
42,33.5,5,9,0,0.2475,124680.05,124680.05
42,36.5,5,10,0,0.2475,124471.63,122179.0
42,36.5,5,11,0,0.2475,124439.64,122147.01
42,36.5,6,12,0,0.2475,124407.64,122115.01
42,36.5,5,13,0,0.2475,124375.65,122083.02
42,36.5,5,14,0,0.2475,124343.65,122051.03
42,36.5,5,15,0,0.2475,124311.66,122019.03
42,36.5,5,16,0,0.2475,124279.67,121987.04
42,36.5,5,17,0,0.2475,124247.67,121955.04
42,36.5,5,18,0,0.2475,124215.68,121923.05
42,36.5,5,19,0,0.2475,124183.68,121891.05
42,35.0,5,20,0,0.2088,123975.26,121891.05
42,35.0,5,21,0,0.2088,123943.27,121859.06
42,35.0,5,22,0,0.2088,123911.27,121827.06
42,35.0,5,23,0,0.2088,123879.28,121795.07
42,35.0,5,24,0,0.2088,123847.28,121763.07
42,35.0,5,25,0,0.2088,123815.29,121731.08
42,35.0,6,26,0,0.2088,123783.29,121699.09
42,35.0,6,27,0,0.2088,123751.3,121667.09
42,35.0,6,28,0,0.2088,123719.3,121635.1
42,35.0,5,29,0,0.2088,123687.31,121603.1
42,31.0,5,30,0,0.2088,123478.89,119102.05
