Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
7,41.0,4,0,0,0.2939,124968.01,124968.01
7,41.0,3,1,0,0.2939,124936.01,124936.01
7,41.0,3,2,0,0.2939,124904.02,124904.02
7,41.0,3,3,0,0.2939,124872.02,124872.02
7,41.0,2,4,0,0.2939,124840.03,124840.03
7,41.0,4,5,0,0.2939,124808.03,124808.03
7,41.0,3,6,0,0.2939,124776.04,124776.04
7,41.0,2,7,0,0.2939,124744.04,124744.04
7,41.0,2,8,0,0.2939,124712.05,124712.05
7,41.0,2,9,0,0.2939,124680.05,124680.05
7,41.0,2,10,0,0.2939,124677.39,124648.06
7,41.0,2,11,0,0.2939,124645.39,124616.06
7,41.0,2,12,0,0.2939,124613.4,124584.07
7,41.0,3,13,0,0.2939,124581.4,124552.08
7,41.0,2,14,0,0.2939,124549.41,124520.08
7,41.0,3,15,0,0.2939,124517.41,124488.09
7,41.0,3,16,0,0.2939,124485.42,124456.09
7,41.0,2,17,0,0.2939,124453.43,124424.1
7,41.0,2,18,0,0.2939,124421.43,124392.1
7,41.0,2,19,0,0.2939,124389.44,124360.11
7,41.0,2,20,0,0.2939,124386.77,124360.11
7,41.0,2,21,0,0.2939,124354.78,124328.11
7,41.0,2,22,0,0.2939,124322.78,124296.12
7,41.0,2,23,0,0.2939,124290.79,124264.12
7,41.0,2,24,0,0.2939,124258.79,124232.13
7,41.0,3,25,0,0.2939,124226.8,124200.14
7,41.0,2,26,0,0.2939,124194.8,124168.14
7,41.0,2,27,0,0.2939,124162.81,124136.15
7,41.0,2,28,0,0.2939,124130.81,124104.15
7,41.0,3,29,0,0.2939,124098.82,124072.16
7,41.0,2,30,0,0.2939,124096.15,124072.16
