Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
22,40.0,5,0,0,0.1894,124968.01,124968.01
22,40.0,5,1,0,0.1894,124936.01,124936.01
22,40.0,5,2,0,0.1894,124904.02,124904.02
22,40.0,5,3,0,0.1894,124872.02,124872.02
22,40.0,5,4,0,0.1894,124840.03,124840.03
22,40.0,5,5,0,0.1894,124808.03,124808.03
22,40.0,5,6,0,0.1894,124776.04,124776.04
22,40.0,5,7,0,0.1894,124744.04,124744.04
22,40.0,5,8,0,0.1894,124712.05,124712.05
22,40.0,5,9,0,0.1894,124680.05,124680.05
22,40.5,5,10,0,0.1793,124471.63,122179.0
22,40.5,5,11,0,0.1793,124439.64,122147.01
22,40.5,5,12,0,0.1793,124407.64,122115.01
22,40.5,5,13,0,0.1793,124375.65,122083.02
22,40.5,5,14,0,0.1793,124343.65,122051.03
22,40.5,5,15,0,0.1793,124311.66,122019.03
22,40.5,5,16,0,0.1793,124279.67,121987.04
22,40.5,5,17,0,0.1793,124247.67,121955.04
22,40.5,5,18,0,0.1793,124215.68,121923.05
22,40.5,5,19,0,0.1793,124183.68,121891.05
22,38.5,4,20,0,0.2551,123975.26,121891.05
22,38.5,5,21,0,0.2551,123943.27,121859.06
22,38.5,4,22,0,0.2551,123911.27,121827.06
22,38.5,4,23,0,0.2551,123879.28,121795.07
22,38.5,4,24,0,0.2551,123847.28,121763.07
22,38.5,4,25,0,0.2551,123815.29,121731.08
22,38.5,4,26,0,0.2551,123783.29,121699.09
22,38.5,4,27,0,0.2551,123751.3,121667.09
22,38.5,4,28,0,0.2551,123719.3,121635.1
22,38.5,4,29,0,0.2551,123687.31,121603.1
22,39.0,4,30,0,0.2551,123478.89,121603.1
