Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
33,42.0,6,0,0,0.1919,124968.01,124968.01
33,42.0,5,1,0,0.1919,124936.01,124936.01
33,42.0,5,2,0,0.1919,124904.02,124904.02
33,42.0,6,3,0,0.1919,124872.02,124872.02
33,42.0,6,4,0,0.1919,124840.03,124840.03
33,42.0,6,5,0,0.1919,124808.03,124808.03
33,42.0,6,6,0,0.1919,124776.04,124776.04
33,42.0,5,7,0,0.1919,124744.04,124744.04
33,42.0,5,8,0,0.1919,124712.05,124712.05
33,42.0,6,9,0,0.1919,124680.05,124680.05
33,41.5,6,10,0,0.1919,124471.63,122179.0
33,41.5,5,11,0,0.1919,124439.64,122147.01
33,41.5,6,12,0,0.1919,124407.64,122115.01
33,41.5,5,13,0,0.1919,124375.65,122083.02
33,41.5,6,14,0,0.1919,124343.65,122051.03
33,41.5,5,15,0,0.1919,124311.66,122019.03
33,41.5,5,16,0,0.1919,124279.67,121987.04
33,41.5,6,17,0,0.1919,124247.67,121955.04
33,41.5,5,18,0,0.1919,124215.68,121923.05
33,41.5,5,19,0,0.1919,124183.68,121891.05
33,40.0,5,20,0,0.1919,124181.02,121859.06
33,40.0,5,21,0,0.1919,124149.02,121827.06
33,40.0,5,22,0,0.1919,124117.03,121795.07
33,40.0,5,23,0,0.1919,124085.03,121763.07
33,40.0,5,24,0,0.1919,124053.04,121731.08
33,40.0,5,25,0,0.1919,124021.04,121699.09
33,40.0,5,26,0,0.1919,123989.05,121667.09
33,40.0,5,27,0,0.1919,123957.05,121635.1
33,40.0,5,28,0,0.1919,123925.06,121603.1
33,40.0,5,29,0,0.1919,123893.06,121571.11
33,42.0,7,30,0,0.1061,123684.64,121571.11
