Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
24,48.0,5,0,0,0.2227,124968.01,124968.01
24,48.0,4,1,0,0.2227,124936.01,124936.01
24,48.0,5,2,0,0.2227,124904.02,124904.02
24,48.0,5,3,0,0.2227,124872.02,124872.02
24,48.0,4,4,0,0.2227,124840.03,124840.03
24,48.0,4,5,0,0.2227,124808.03,124808.03
24,48.0,5,6,0,0.2227,124776.04,124776.04
24,48.0,4,7,0,0.2227,124744.04,124744.04
24,48.0,4,8,0,0.2227,124712.05,124712.05
24,48.0,4,9,0,0.2227,124680.05,124680.05
24,44.5,5,10,0,0.1944,124471.63,122179.0
24,44.5,4,11,0,0.1944,124439.64,122147.01
24,44.5,5,12,0,0.1944,124407.64,122115.01
24,44.5,4,13,0,0.1944,124375.65,122083.02
24,44.5,4,14,0,0.1944,124343.65,122051.03
24,44.5,5,15,0,0.1944,124311.66,122019.03
24,44.5,6,16,0,0.1944,124279.67,121987.04
24,44.5,4,17,0,0.1944,124247.67,121955.04
24,44.5,4,18,0,0.1944,124215.68,121923.05
24,44.5,5,19,0,0.1944,124183.68,121891.05
24,47.0,5,20,0,0.1869,123975.26,121891.05
24,47.0,4,21,0,0.1869,123943.27,121859.06
24,47.0,4,22,0,0.1869,123911.27,121827.06
24,47.0,4,23,0,0.1869,123879.28,121795.07
24,47.0,4,24,0,0.1869,123847.28,121763.07
24,47.0,4,25,0,0.1869,123815.29,121731.08
24,47.0,4,26,0,0.1869,123783.29,121699.09
24,47.0,4,27,0,0.1869,123751.3,121667.09
24,47.0,4,28,0,0.1869,123719.3,121635.1
24,47.0,4,29,0,0.1869,123687.31,121603.1
24,50.0,5,30,0,0.1869,123550.22,119957.99
