Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
25,29.5,3,0,0,0.4192,124968.01,124968.01
25,29.5,3,1,0,0.4192,124936.01,124936.01
25,29.5,3,2,0,0.4192,124904.02,124904.02
25,29.5,3,3,0,0.4192,124872.02,124872.02
25,29.5,3,4,0,0.4192,124840.03,124840.03
25,29.5,3,5,0,0.4192,124808.03,124808.03
25,29.5,3,6,0,0.4192,124776.04,124776.04
25,29.5,3,7,0,0.4192,124744.04,124744.04
25,29.5,3,8,0,0.4192,124712.05,124712.05
25,29.5,3,9,0,0.4192,124680.05,124680.05
25,23.5,3,10,0,0.4003,124471.63,122179.0
25,23.5,3,11,0,0.4003,124439.64,122147.01
25,23.5,3,12,0,0.4003,124407.64,122115.01
25,23.5,3,13,0,0.4003,124375.65,122083.02
25,23.5,4,14,0,0.4003,124343.65,122051.03
25,23.5,3,15,0,0.4003,124311.66,122019.03
25,23.5,3,16,0,0.4003,124279.67,121987.04
25,23.5,3,17,0,0.4003,124247.67,121955.04
25,23.5,3,18,0,0.4003,124215.68,121923.05
25,23.5,3,19,0,0.4003,124183.68,121891.05
25,27.0,3,20,0,0.4003,124113.8,121891.05
25,27.0,3,21,0,0.4003,124081.81,121859.06
25,27.0,3,22,0,0.4003,124049.81,121827.06
25,27.0,4,23,0,0.4003,124017.82,121795.07
25,27.0,3,24,0,0.4003,123985.82,121763.07
25,27.0,3,25,0,0.4003,123953.83,121731.08
25,27.0,3,26,0,0.4003,123921.83,121699.09
25,27.0,3,27,0,0.4003,123889.84,121667.09
25,27.0,3,28,0,0.4003,123857.85,121635.1
25,27.0,3,29,0,0.4003,123825.85,121603.1
25,27.0,3,30,0,0.4003,123823.18,121603.1
