Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
44,37.0,4,0,0,0.2929,124968.01,124968.01
44,37.0,4,1,0,0.2929,124936.01,124936.01
44,37.0,4,2,0,0.2929,124904.02,124904.02
44,37.0,4,3,0,0.2929,124872.02,124872.02
44,37.0,4,4,0,0.2929,124840.03,124840.03
44,37.0,4,5,0,0.2929,124808.03,124808.03
44,37.0,4,6,0,0.2929,124776.04,124776.04
44,37.0,4,7,0,0.2929,124744.04,124744.04
44,37.0,4,8,0,0.2929,124712.05,124712.05
44,37.0,4,9,0,0.2929,124680.05,124680.05
44,39.5,4,10,0,0.3081,124471.63,122179.0
44,39.5,5,11,0,0.3081,124439.64,122147.01
44,39.5,4,12,0,0.3081,124407.64,122115.01
44,39.5,4,13,0,0.3081,124375.65,122083.02
44,39.5,4,14,0,0.3081,124343.65,122051.03
44,39.5,4,15,0,0.3081,124311.66,122019.03
44,39.5,4,16,0,0.3081,124279.67,121987.04
44,39.5,4,17,0,0.3081,124247.67,121955.04
44,39.5,4,18,0,0.3081,124215.68,121923.05
44,39.5,4,19,0,0.3081,124183.68,121891.05
44,45.0,3,20,0,0.3396,123975.26,121891.05
44,45.0,3,21,0,0.3396,123943.27,121859.06
44,45.0,3,22,0,0.3396,123911.27,121827.06
44,45.0,3,23,0,0.3396,123879.28,121795.07
44,45.0,4,24,0,0.3396,123847.28,121763.07
44,45.0,3,25,0,0.3396,123815.29,121731.08
44,45.0,3,26,0,0.3396,123783.29,121699.09
44,45.0,4,27,0,0.3396,123751.3,121667.09
44,45.0,3,28,0,0.3396,123719.3,121635.1
44,45.0,3,29,0,0.3396,123687.31,121603.1
44,44.5,4,30,0,0.3396,123617.43,121603.1
