Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
36,48.0,4,0,0,0.2803,124968.01,124968.01
36,48.0,4,1,0,0.2803,124936.01,124936.01
36,48.0,3,2,0,0.2803,124904.02,124904.02
36,48.0,4,3,0,0.2803,124872.02,124872.02
36,48.0,3,4,0,0.2803,124840.03,124840.03
36,48.0,3,5,0,0.2803,124808.03,124808.03
36,48.0,3,6,0,0.2803,124776.04,124776.04
36,48.0,3,7,0,0.2803,124744.04,124744.04
36,48.0,3,8,0,0.2803,124712.05,124712.05
36,48.0,3,9,0,0.2803,124680.05,124680.05
36,45.5,3,10,0,0.2702,124471.63,122179.0
36,45.5,3,11,0,0.2702,124439.64,122147.01
36,45.5,3,12,0,0.2702,124407.64,122115.01
36,45.5,3,13,0,0.2702,124375.65,122083.02
36,45.5,3,14,0,0.2702,124343.65,122051.03
36,45.5,4,15,0,0.2702,124311.66,122019.03
36,45.5,3,16,0,0.2702,124279.67,121987.04
36,45.5,3,17,0,0.2702,124247.67,121955.04
36,45.5,3,18,0,0.2702,124215.68,121923.05
36,45.5,3,19,0,0.2702,124183.68,121891.05
36,45.5,3,20,0,0.2702,124181.02,121891.05
36,45.5,3,21,0,0.2702,124149.02,121859.06
36,45.5,3,22,0,0.2702,124117.03,121827.06
36,45.5,3,23,0,0.2702,124085.03,121795.07
36,45.5,4,24,0,0.2702,124053.04,121763.07
36,45.5,3,25,0,0.2702,124021.04,121731.08
36,45.5,3,26,0,0.2702,123989.05,121699.09
36,45.5,3,27,0,0.2702,123957.05,121667.09
36,45.5,3,28,0,0.2702,123925.06,121635.1
36,45.5,3,29,0,0.2702,123893.06,121603.1
36,45.5,3,30,0,0.2702,123890.4,121603.1
