Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
41,49.5,4,0,0,0.2955,124968.01,124968.01
41,49.5,4,1,0,0.2955,124936.01,124936.01
41,49.5,4,2,0,0.2955,124904.02,124904.02
41,49.5,4,3,0,0.2955,124872.02,124872.02
41,49.5,4,4,0,0.2955,124840.03,124840.03
41,49.5,4,5,0,0.2955,124808.03,124808.03
41,49.5,5,6,0,0.2955,124776.04,124776.04
41,49.5,4,7,0,0.2955,124744.04,124744.04
41,49.5,4,8,0,0.2955,124712.05,124712.05
41,49.5,4,9,0,0.2955,124680.05,124680.05
41,48.0,4,10,0,0.3157,124471.63,122179.0
41,48.0,4,11,0,0.3157,124439.64,122147.01
41,48.0,4,12,0,0.3157,124407.64,122115.01
41,48.0,4,13,0,0.3157,124375.65,122083.02
41,48.0,4,14,0,0.3157,124343.65,122051.03
41,48.0,4,15,0,0.3157,124311.66,122019.03
41,48.0,4,16,0,0.3157,124279.67,121987.04
41,48.0,4,17,0,0.3157,124247.67,121955.04
41,48.0,5,18,0,0.3157,124215.68,121923.05
41,48.0,4,19,0,0.3157,124183.68,121891.05
41,46.5,4,20,0,0.3157,123975.26,121891.05
41,46.5,4,21,0,0.3157,123943.27,121859.06
41,46.5,4,22,0,0.3157,123911.27,121827.06
41,46.5,4,23,0,0.3157,123879.28,121795.07
41,46.5,4,24,0,0.3157,123847.28,121763.07
41,46.5,5,25,0,0.3157,123815.29,121731.08
41,46.5,4,26,0,0.3157,123783.29,121699.09
41,46.5,4,27,0,0.3157,123751.3,121667.09
41,46.5,4,28,0,0.3157,123719.3,121635.1
41,46.5,4,29,0,0.3157,123687.31,121603.1
41,51.0,3,30,0,0.3939,123478.89,121603.1
