Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
15,24.5,5,0,0,0.1427,124968.01,124968.01
15,24.5,5,1,0,0.1427,124936.01,124936.01
15,24.5,5,2,0,0.1427,124904.02,124904.02
15,24.5,5,3,0,0.1427,124872.02,124872.02
15,24.5,5,4,0,0.1427,124840.03,124840.03
15,24.5,6,5,0,0.1427,124808.03,124808.03
15,24.5,5,6,0,0.1427,124776.04,124776.04
15,24.5,5,7,0,0.1427,124744.04,124744.04
15,24.5,5,8,0,0.1427,124712.05,124712.05
15,24.5,5,9,0,0.1427,124680.05,124680.05
15,24.5,5,10,0,0.1427,124677.39,124648.06
15,24.5,5,11,0,0.1427,124645.39,124616.06
15,24.5,5,12,0,0.1427,124613.4,124584.07
15,24.5,5,13,0,0.1427,124581.4,124552.08
15,24.5,6,14,0,0.1427,124549.41,124520.08
15,24.5,5,15,0,0.1427,124517.41,124488.09
15,24.5,6,16,0,0.1427,124485.42,124456.09
15,24.5,5,17,0,0.1427,124453.43,124424.1
15,24.5,6,18,0,0.1427,124421.43,124392.1
15,24.5,5,19,0,0.1427,124389.44,124360.11
15,27.0,6,20,0,0.1427,124299.03,123307.22
15,27.0,5,21,0,0.1427,124267.03,123275.22
15,27.0,5,22,0,0.1427,124235.04,123243.23
15,27.0,5,23,0,0.1427,124203.05,123211.23
15,27.0,6,24,0,0.1427,124171.05,123179.24
15,27.0,7,25,0,0.1427,124139.06,123147.25
15,27.0,5,26,0,0.1427,124107.06,123115.25
15,27.0,5,27,0,0.1427,124075.07,123083.26
15,27.0,5,28,0,0.1427,124043.07,123051.26
15,27.0,6,29,0,0.1427,124011.08,123019.27
15,27.0,6,30,0,0.1212,123802.66,121603.1
