Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
47,46.5,3,0,0,0.4242,124968.01,124968.01
47,46.5,3,1,0,0.4242,124936.01,124936.01
47,46.5,3,2,0,0.4242,124904.02,124904.02
47,46.5,3,3,0,0.4242,124872.02,124872.02
47,46.5,3,4,0,0.4242,124840.03,124840.03
47,46.5,3,5,0,0.4242,124808.03,124808.03
47,46.5,3,6,0,0.4242,124776.04,124776.04
47,46.5,4,7,0,0.4242,124744.04,124744.04
47,46.5,3,8,0,0.4242,124712.05,124712.05
47,46.5,3,9,0,0.4242,124680.05,124680.05
47,44.0,3,10,0,0.4293,124471.63,122179.0
47,44.0,3,11,0,0.4293,124439.64,122147.01
47,44.0,3,12,0,0.4293,124407.64,122115.01
47,44.0,4,13,0,0.4293,124375.65,122083.02
47,44.0,3,14,0,0.4293,124343.65,122051.03
47,44.0,3,15,0,0.4293,124311.66,122019.03
47,44.0,3,16,0,0.4293,124279.67,121987.04
47,44.0,3,17,0,0.4293,124247.67,121955.04
47,44.0,3,18,0,0.4293,124215.68,121923.05
47,44.0,3,19,0,0.4293,124183.68,121891.05
47,44.5,3,20,0,0.4217,124113.8,121891.05
47,44.5,3,21,0,0.4217,124081.81,121859.06
47,44.5,3,22,0,0.4217,124049.81,121827.06
47,44.5,3,23,0,0.4217,124017.82,121795.07
47,44.5,3,24,0,0.4217,123985.82,121763.07
47,44.5,3,25,0,0.4217,123953.83,121731.08
47,44.5,3,26,0,0.4217,123921.83,121699.09
47,44.5,3,27,0,0.4217,123889.84,121667.09
47,44.5,3,28,0,0.4217,123857.85,121635.1
47,44.5,3,29,0,0.4217,123825.85,121603.1
47,50.0,3,30,0,0.404,123617.43,119102.05
