Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
27,37.0,4,0,0,0.2856,124968.01,124968.01
27,37.0,4,1,0,0.2856,124936.01,124936.01
27,37.0,4,2,0,0.2856,124904.02,124904.02
27,37.0,5,3,0,0.2856,124872.02,124872.02
27,37.0,4,4,0,0.2856,124840.03,124840.03
27,37.0,4,5,0,0.2856,124808.03,124808.03
27,37.0,4,6,0,0.2856,124776.04,124776.04
27,37.0,5,7,0,0.2856,124744.04,124744.04
27,37.0,5,8,0,0.2856,124712.05,124712.05
27,37.0,4,9,0,0.2856,124680.05,124680.05
27,33.0,4,10,0,0.3033,124471.63,122179.0
27,33.0,5,11,0,0.3033,124439.64,122147.01
27,33.0,4,12,0,0.3033,124407.64,122115.01
27,33.0,4,13,0,0.3033,124375.65,122083.02
27,33.0,5,14,0,0.3033,124343.65,122051.03
27,33.0,4,15,0,0.3033,124311.66,122019.03
27,33.0,5,16,0,0.3033,124279.67,121987.04
27,33.0,4,17,0,0.3033,124247.67,121955.04
27,33.0,4,18,0,0.3033,124215.68,121923.05
27,33.0,4,19,0,0.3033,124183.68,121891.05
27,33.0,4,20,0,0.3033,124181.02,121891.05
27,33.0,4,21,0,0.3033,124149.02,121859.06
27,33.0,4,22,0,0.3033,124117.03,121827.06
27,33.0,4,23,0,0.3033,124085.03,121795.07
27,33.0,4,24,0,0.3033,124053.04,121763.07
27,33.0,4,25,0,0.3033,124021.04,121731.08
27,33.0,5,26,0,0.3033,123989.05,121699.09
27,33.0,4,27,0,0.3033,123957.05,121667.09
27,33.0,4,28,0,0.3033,123925.06,121635.1
27,33.0,4,29,0,0.3033,123893.06,121603.1
27,35.0,4,30,0,0.3497,123684.64,121603.1
