Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
50,37.5,4,0,0,0.2775,124968.01,124968.01
50,37.5,4,1,0,0.2775,124936.01,124936.01
50,37.5,3,2,0,0.2775,124904.02,124904.02
50,37.5,3,3,0,0.2775,124872.02,124872.02
50,37.5,4,4,0,0.2775,124840.03,124840.03
50,37.5,4,5,0,0.2775,124808.03,124808.03
50,37.5,3,6,0,0.2775,124776.04,124776.04
50,37.5,3,7,0,0.2775,124744.04,124744.04
50,37.5,4,8,0,0.2775,124712.05,124712.05
50,37.5,3,9,0,0.2775,124680.05,124680.05
50,38.5,3,10,0,0.2947,124471.63,122179.0
50,38.5,3,11,0,0.2947,124439.64,122147.01
50,38.5,3,12,0,0.2947,124407.64,122115.01
50,38.5,4,13,0,0.2947,124375.65,122083.02
50,38.5,3,14,0,0.2947,124343.65,122051.03
50,38.5,3,15,0,0.2947,124311.66,122019.03
50,38.5,4,16,0,0.2947,124279.67,121987.04
50,38.5,3,17,0,0.2947,124247.67,121955.04
50,38.5,3,18,0,0.2947,124215.68,121923.05
50,38.5,3,19,0,0.2947,124183.68,121891.05
50,41.5,3,20,0,0.3106,123975.26,121891.05
50,41.5,3,21,0,0.3106,123943.27,121859.06
50,41.5,3,22,0,0.3106,123911.27,121827.06
50,41.5,3,23,0,0.3106,123879.28,121795.07
50,41.5,3,24,0,0.3106,123847.28,121763.07
50,41.5,3,25,0,0.3106,123815.29,121731.08
50,41.5,3,26,0,0.3106,123783.29,121699.09
50,41.5,3,27,0,0.3106,123751.3,121667.09
50,41.5,4,28,0,0.3106,123719.3,121635.1
50,41.5,3,29,0,0.3106,123687.31,121603.1
50,37.5,3,30,0,0.3106,123617.43,121603.1
