Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
46,31.0,4,0,0,0.2083,124968.01,124968.01
46,31.0,5,1,0,0.2083,124936.01,124936.01
46,31.0,4,2,0,0.2083,124904.02,124904.02
46,31.0,4,3,0,0.2083,124872.02,124872.02
46,31.0,4,4,0,0.2083,124840.03,124840.03
46,31.0,5,5,0,0.2083,124808.03,124808.03
46,31.0,4,6,0,0.2083,124776.04,124776.04
46,31.0,4,7,0,0.2083,124744.04,124744.04
46,31.0,4,8,0,0.2083,124712.05,124712.05
46,31.0,4,9,0,0.2083,124680.05,124680.05
46,31.5,4,10,0,0.2083,124610.17,123841.5
46,31.5,5,11,0,0.2083,124578.18,123809.51
46,31.5,4,12,0,0.2083,124546.19,123777.51
46,31.5,4,13,0,0.2083,124514.19,123745.52
46,31.5,4,14,0,0.2083,124482.2,123713.52
46,31.5,4,15,0,0.2083,124450.2,123681.53
46,31.5,4,16,0,0.2083,124418.21,123649.53
46,31.5,4,17,0,0.2083,124386.21,123617.54
46,31.5,4,18,0,0.2083,124354.22,123585.54
46,31.5,4,19,0,0.2083,124322.22,123553.55
46,30.0,5,20,0,0.1894,124113.8,121052.5
46,30.0,5,21,0,0.1894,124081.81,121020.5
46,30.0,5,22,0,0.1894,124049.81,120988.51
46,30.0,5,23,0,0.1894,124017.82,120956.52
46,30.0,5,24,0,0.1894,123985.82,120924.52
46,30.0,5,25,0,0.1894,123953.83,120892.53
46,30.0,5,26,0,0.1894,123921.83,120860.53
46,30.0,5,27,0,0.1894,123889.84,120828.54
46,30.0,5,28,0,0.1894,123857.85,120796.54
46,30.0,5,29,0,0.1894,123825.85,120764.55
46,20.0,5,30,0,0.2121,123617.43,120764.55
