Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
6,41.0,5,0,0,0.178,124968.01,124968.01
6,41.0,5,1,0,0.178,124936.01,124936.01
6,41.0,6,2,0,0.178,124904.02,124904.02
6,41.0,6,3,0,0.178,124872.02,124872.02
6,41.0,5,4,0,0.178,124840.03,124840.03
6,41.0,5,5,0,0.178,124808.03,124808.03
6,41.0,5,6,0,0.178,124776.04,124776.04
6,41.0,5,7,0,0.178,124744.04,124744.04
6,41.0,5,8,0,0.178,124712.05,124712.05
6,41.0,5,9,0,0.178,124680.05,124680.05
6,43.0,5,10,0,0.1621,124471.63,122179.0
6,43.0,5,11,0,0.1621,124439.64,122147.01
6,43.0,5,12,0,0.1621,124407.64,122115.01
6,43.0,5,13,0,0.1621,124375.65,122083.02
6,43.0,5,14,0,0.1621,124343.65,122051.03
6,43.0,6,15,0,0.1621,124311.66,122019.03
6,43.0,5,16,0,0.1621,124279.67,121987.04
6,43.0,5,17,0,0.1621,124247.67,121955.04
6,43.0,6,18,0,0.1621,124215.68,121923.05
6,43.0,5,19,0,0.1621,124183.68,121891.05
6,46.0,5,20,0,0.1621,124113.8,121891.05
6,46.0,6,21,0,0.1621,124081.81,121859.06
6,46.0,5,22,0,0.1621,124049.81,121827.06
6,46.0,5,23,0,0.1621,124017.82,121795.07
6,46.0,5,24,0,0.1621,123985.82,121763.07
6,46.0,6,25,0,0.1621,123953.83,121731.08
6,46.0,5,26,0,0.1621,123921.83,121699.09
6,46.0,6,27,0,0.1621,123889.84,121667.09
6,46.0,5,28,0,0.1621,123857.85,121635.1
6,46.0,6,29,0,0.1621,123825.85,121603.1
6,35.5,6,30,0,0.1061,123617.43,121603.1
