Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
14,25.0,5,0,0,0.1338,124968.01,124968.01
14,25.0,5,1,0,0.1338,124936.01,124936.01
14,25.0,5,2,0,0.1338,124904.02,124904.02
14,25.0,6,3,0,0.1338,124872.02,124872.02
14,25.0,5,4,0,0.1338,124840.03,124840.03
14,25.0,5,5,0,0.1338,124808.03,124808.03
14,25.0,6,6,0,0.1338,124776.04,124776.04
14,25.0,5,7,0,0.1338,124744.04,124744.04
14,25.0,5,8,0,0.1338,124712.05,124712.05
14,25.0,5,9,0,0.1338,124680.05,124680.05
14,26.0,5,10,0,0.1338,124610.17,123841.5
14,26.0,5,11,0,0.1338,124578.18,123809.51
14,26.0,5,12,0,0.1338,124546.19,123777.51
14,26.0,5,13,0,0.1338,124514.19,123745.52
14,26.0,5,14,0,0.1338,124482.2,123713.52
14,26.0,6,15,0,0.1338,124450.2,123681.53
14,26.0,5,16,0,0.1338,124418.21,123649.53
14,26.0,5,17,0,0.1338,124386.21,123617.54
14,26.0,5,18,0,0.1338,124354.22,123585.54
14,26.0,5,19,0,0.1338,124322.22,123553.55
14,24.0,5,20,0,0.1338,124252.34,123553.55
14,24.0,5,21,0,0.1338,124220.35,123521.55
14,24.0,5,22,0,0.1338,124188.35,123489.56
14,24.0,5,23,0,0.1338,124156.36,123457.57
14,24.0,6,24,0,0.1338,124124.37,123425.57
14,24.0,5,25,0,0.1338,124092.37,123393.58
14,24.0,5,26,0,0.1338,124060.38,123361.58
14,24.0,5,27,0,0.1338,124028.38,123329.59
14,24.0,5,28,0,0.1338,123996.39,123297.59
14,24.0,5,29,0,0.1338,123964.39,123265.6
14,21.5,5,30,0,0.1338,123755.97,121603.1
