Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
31,19.5,3,0,0,0.2551,124968.01,124968.01
31,19.5,4,1,0,0.2551,124936.01,124936.01
31,19.5,3,2,0,0.2551,124904.02,124904.02
31,19.5,3,3,0,0.2551,124872.02,124872.02
31,19.5,5,4,0,0.2551,124840.03,124840.03
31,19.5,3,5,0,0.2551,124808.03,124808.03
31,19.5,3,6,0,0.2551,124776.04,124776.04
31,19.5,4,7,0,0.2551,124744.04,124744.04
31,19.5,3,8,0,0.2551,124712.05,124712.05
31,19.5,3,9,0,0.2551,124680.05,124680.05
31,19.5,3,10,0,0.2525,124471.63,122179.0
31,19.5,3,11,0,0.2525,124439.64,122147.01
31,19.5,4,12,0,0.2525,124407.64,122115.01
31,19.5,4,13,0,0.2525,124375.65,122083.02
31,19.5,3,14,0,0.2525,124343.65,122051.03
31,19.5,3,15,0,0.2525,124311.66,122019.03
31,19.5,3,16,0,0.2525,124279.67,121987.04
31,19.5,3,17,0,0.2525,124247.67,121955.04
31,19.5,3,18,0,0.2525,124215.68,121923.05
31,19.5,3,19,0,0.2525,124183.68,121891.05
31,17.5,3,20,0,0.2525,124113.8,121891.05
31,17.5,3,21,0,0.2525,124081.81,121859.06
31,17.5,3,22,0,0.2525,124049.81,121827.06
31,17.5,3,23,0,0.2525,124017.82,121795.07
31,17.5,3,24,0,0.2525,123985.82,121763.07
31,17.5,3,25,0,0.2525,123953.83,121731.08
31,17.5,3,26,0,0.2525,123921.83,121699.09
31,17.5,3,27,0,0.2525,123889.84,121667.09
31,17.5,3,28,0,0.2525,123857.85,121635.1
31,17.5,3,29,0,0.2525,123825.85,121603.1
31,24.5,5,30,0,0.2247,123617.43,121603.1
