Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
39,27.500000000000004,5,0,0,0.1742,124968.01,124968.01
39,27.500000000000004,5,1,0,0.1742,124936.01,124936.01
39,27.500000000000004,6,2,0,0.1742,124904.02,124904.02
39,27.500000000000004,5,3,0,0.1742,124872.02,124872.02
39,27.500000000000004,5,4,0,0.1742,124840.03,124840.03
39,27.500000000000004,5,5,0,0.1742,124808.03,124808.03
39,27.500000000000004,5,6,0,0.1742,124776.04,124776.04
39,27.500000000000004,6,7,0,0.1742,124744.04,124744.04
39,27.500000000000004,5,8,0,0.1742,124712.05,124712.05
39,27.500000000000004,5,9,0,0.1742,124680.05,124680.05
39,27.500000000000004,5,10,0,0.1742,124677.39,124648.06
39,27.500000000000004,5,11,0,0.1742,124645.39,124616.06
39,27.500000000000004,6,12,0,0.1742,124613.4,124584.07
39,27.500000000000004,5,13,0,0.1742,124581.4,124552.08
39,27.500000000000004,5,14,0,0.1742,124549.41,124520.08
39,27.500000000000004,5,15,0,0.1742,124517.41,124488.09
39,27.500000000000004,5,16,0,0.1742,124485.42,124456.09
39,27.500000000000004,6,17,0,0.1742,124453.43,124424.1
39,27.500000000000004,5,18,0,0.1742,124421.43,124392.1
39,27.500000000000004,5,19,0,0.1742,124389.44,124360.11
39,27.500000000000004,5,20,0,0.1742,124386.77,124360.11
39,27.500000000000004,5,21,0,0.1742,124354.78,124328.11
39,27.500000000000004,5,22,0,0.1742,124322.78,124296.12
39,27.500000000000004,5,23,0,0.1742,124290.79,124264.12
39,27.500000000000004,5,24,0,0.1742,124258.79,124232.13
39,27.500000000000004,6,25,0,0.1742,124226.8,124200.14
39,27.500000000000004,6,26,0,0.1742,124194.8,124168.14
39,27.500000000000004,5,27,0,0.1742,124162.81,124136.15
39,27.500000000000004,6,28,0,0.1742,124130.81,124104.15
39,27.500000000000004,6,29,0,0.1742,124098.82,124072.16
39,26.5,5,30,0,0.1742,123890.4,121571.11
