Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
32,26.0,3,0,0,0.3197,124968.01,124968.01
32,26.0,4,1,0,0.3197,124936.01,124936.01
32,26.0,4,2,0,0.3197,124904.02,124904.02
32,26.0,3,3,0,0.3197,124872.02,124872.02
32,26.0,3,4,0,0.3197,124840.03,124840.03
32,26.0,3,5,0,0.3197,124808.03,124808.03
32,26.0,3,6,0,0.3197,124776.04,124776.04
32,26.0,3,7,0,0.3197,124744.04,124744.04
32,26.0,3,8,0,0.3197,124712.05,124712.05
32,26.0,3,9,0,0.3197,124680.05,124680.05
32,20.5,3,10,0,0.3197,124471.63,122179.0
32,20.5,4,11,0,0.3197,124439.64,122147.01
32,20.5,3,12,0,0.3197,124407.64,122115.01
32,20.5,3,13,0,0.3197,124375.65,122083.02
32,20.5,3,14,0,0.3197,124343.65,122051.03
32,20.5,3,15,0,0.3197,124311.66,122019.03
32,20.5,4,16,0,0.3197,124279.67,121987.04
32,20.5,3,17,0,0.3197,124247.67,121955.04
32,20.5,3,18,0,0.3197,124215.68,121923.05
32,20.5,3,19,0,0.3197,124183.68,121891.05
32,12.5,4,20,0,0.2576,123975.26,121891.05
32,12.5,5,21,0,0.2576,123943.27,121859.06
32,12.5,4,22,0,0.2576,123911.27,121827.06
32,12.5,4,23,0,0.2576,123879.28,121795.07
32,12.5,4,24,0,0.2576,123847.28,121763.07
32,12.5,5,25,0,0.2576,123815.29,121731.08
32,12.5,4,26,0,0.2576,123783.29,121699.09
32,12.5,4,27,0,0.2576,123751.3,121667.09
32,12.5,4,28,0,0.2576,123719.3,121635.1
32,12.5,5,29,0,0.2576,123687.31,121603.1
32,12.5,5,30,0,0.2576,123684.64,121603.1
