iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
0,53,0,ENERGY_DEPLETION,0,1,Yes
0,54,1,ENERGY_DEPLETION,0,8,Yes
0,54,4,ENERGY_DEPLETION,0,4,Yes
0,56,2,ENERGY_DEPLETION,0,4,Yes
0,57,3,ENERGY_DEPLETION,0,7,Yes
0,61,5,ENERGY_DEPLETION,0,6,Yes
0,65,6,ENERGY_DEPLETION,0,7,Yes
0,69,7,ENERGY_DEPLETION,0,4,Yes
0,74,8,ENERGY_DEPLETION,0,4,Yes
1,54,0,ENERGY_DEPLETION,0,7,Yes
1,54,1,ENERGY_DEPLETION,0,4,Yes
1,54,3,ENERGY_DEPLETION,0,6,Yes
1,55,2,ENERGY_DEPLETION,0,6,Yes
1,55,4,ENERGY_DEPLETION,0,6,Yes
1,57,5,ENERGY_DEPLETION,0,3,Yes
1,64,6,ENERGY_DEPLETION,0,3,Yes
1,71,7,ENERGY_DEPLETION,0,7,Yes
1,72,8,ENERGY_DEPLETION,0,2,Yes
2,19,5,STOCHASTIC_FAILURE,92006.24,0,Yes
2,19,5,ENERGY_DEPLETION,0,0,Yes
2,52,0,ENERGY_DEPLETION,0,2,Yes
2,54,1,ENERGY_DEPLETION,0,8,Yes
2,54,2,ENERGY_DEPLETION,0,4,Yes
2,56,3,ENERGY_DEPLETION,0,9,Yes
2,56,4,ENERGY_DEPLETION,0,5,Yes
2,64,6,ENERGY_DEPLETION,0,5,Yes
2,72,7,ENERGY_DEPLETION,0,2,Yes
2,73,8,ENERGY_DEPLETION,0,4,Yes
3,52,1,ENERGY_DEPLETION,0,7,Yes
3,52,3,ENERGY_DEPLETION,0,5,Yes
3,55,2,ENERGY_DEPLETION,0,9,Yes
3,55,4,ENERGY_DEPLETION,0,3,Yes
3,56,0,ENERGY_DEPLETION,0,3,Yes
3,58,7,STOCHASTIC_FAILURE,28423.28,3,Yes
3,58,7,ENERGY_DEPLETION,0,0,Yes
3,60,5,ENERGY_DEPLETION,0,7,Yes
3,62,6,ENERGY_DEPLETION,0,6,Yes
4,54,3,ENERGY_DEPLETION,0,4,Yes
4,56,0,ENERGY_DEPLETION,0,5,Yes
4,56,1,ENERGY_DEPLETION,0,6,Yes
4,56,4,ENERGY_DEPLETION,0,8,Yes
4,60,2,ENERGY_DEPLETION,0,7,Yes
4,61,5,ENERGY_DEPLETION,0,5,Yes
4,62,6,ENERGY_DEPLETION,0,7,Yes
4,66,9,STOCHASTIC_FAILURE,21202.27,7,Yes
4,66,9,ENERGY_DEPLETION,0,0,Yes
4,71,7,ENERGY_DEPLETION,0,4,Yes
4,74,8,ENERGY_DEPLETION,0,3,Yes
