iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
11,65,16,ENERGY_DEPLETION,0,0,Yes
11,70,6,ENERGY_DEPLETION,0,0,Yes
11,72,7,ENERGY_DEPLETION,0,0,Yes
11,75,8,ENERGY_DEPLETION,0,0,Yes
12,53,0,ENERGY_DEPLETION,0,0,Yes
12,55,3,ENERGY_DEPLETION,0,0,Yes
12,57,1,ENERGY_DEPLETION,0,0,Yes
12,60,2,ENERGY_DEPLETION,0,0,Yes
12,60,4,ENERGY_DEPLETION,0,8,Yes
12,60,5,ENERGY_DEPLETION,0,0,Yes
12,64,6,ENERGY_DEPLETION,0,0,Yes
12,71,7,ENERGY_DEPLETION,0,0,Yes
12,73,8,ENERGY_DEPLETION,0,0,Yes
13,44,0,STOCHASTIC_FAILURE,24672.13,4,Yes
13,44,0,ENERGY_DEPLETION,0,0,Yes
13,51,4,ENERGY_DEPLETION,0,0,Yes
13,53,3,ENERGY_DEPLETION,0,0,Yes
13,55,1,ENERGY_DEPLETION,0,0,Yes
13,57,2,ENERGY_DEPLETION,0,0,Yes
13,59,5,ENERGY_DEPLETION,0,0,Yes
13,68,6,ENERGY_DEPLETION,0,0,Yes
13,73,18,STOCHASTIC_FAILURE,119901.87,6,Yes
13,73,7,ENERGY_DEPLETION,0,0,Yes
13,73,18,ENERGY_DEPLETION,0,0,Yes
14,53,1,ENERGY_DEPLETION,0,0,Yes
14,55,2,ENERGY_DEPLETION,0,0,Yes
14,56,0,ENERGY_DEPLETION,0,0,Yes
14,57,3,ENERGY_DEPLETION,0,0,Yes
14,57,4,ENERGY_DEPLETION,0,0,Yes
14,58,5,ENERGY_DEPLETION,0,0,Yes
14,59,9,STOCHASTIC_FAILURE,48011.56,4,Yes
14,59,9,ENERGY_DEPLETION,0,0,Yes
14,64,6,ENERGY_DEPLETION,0,0,Yes
14,75,7,ENERGY_DEPLETION,0,0,Yes
15,25,8,STOCHASTIC_FAILURE,116752.63,6,Yes
15,25,8,ENERGY_DEPLETION,0,0,Yes
15,53,4,ENERGY_DEPLETION,0,0,Yes
15,56,1,ENERGY_DEPLETION,0,0,Yes
15,56,3,ENERGY_DEPLETION,0,0,Yes
15,57,0,ENERGY_DEPLETION,0,0,Yes
15,59,2,ENERGY_DEPLETION,0,0,Yes
15,60,5,ENERGY_DEPLETION,0,0,Yes
15,63,6,ENERGY_DEPLETION,0,0,Yes
15,72,7,ENERGY_DEPLETION,0,0,Yes
16,52,2,ENERGY_DEPLETION,0,0,Yes
16,52,3,ENERGY_DEPLETION,0,0,Yes
16,53,4,ENERGY_DEPLETION,0,0,Yes
16,56,0,ENERGY_DEPLETION,0,0,Yes
16,60,1,ENERGY_DEPLETION,0,5,Yes
16,60,5,ENERGY_DEPLETION,0,0,Yes
16,70,6,ENERGY_DEPLETION,0,3,Yes
16,70,7,ENERGY_DEPLETION,0,0,Yes
17,37,4,STOCHASTIC_FAILURE,40773.25,6,Yes
17,37,4,ENERGY_DEPLETION,0,0,Yes
17,53,2,ENERGY_DEPLETION,0,0,Yes
17,54,3,ENERGY_DEPLETION,0,0,Yes
17,55,0,ENERGY_DEPLETION,0,0,Yes
17,55,1,ENERGY_DEPLETION,0,0,Yes
17,59,5,ENERGY_DEPLETION,0,0,Yes
17,63,6,ENERGY_DEPLETION,0,0,Yes
17,74,7,ENERGY_DEPLETION,0,0,Yes
18,52,3,ENERGY_DEPLETION,0,0,Yes
18,53,1,ENERGY_DEPLETION,0,0,Yes
18,53,4,ENERGY_DEPLETION,0,0,Yes
18,57,0,ENERGY_DEPLETION,0,0,Yes
18,58,2,ENERGY_DEPLETION,0,0,Yes
18,60,5,ENERGY_DEPLETION,0,0,Yes
18,66,6,ENERGY_DEPLETION,0,0,Yes
18,71,7,ENERGY_DEPLETION,0,5,Yes
19,54,1,ENERGY_DEPLETION,0,0,Yes
19,54,2,ENERGY_DEPLETION,0,0,Yes
19,54,4,ENERGY_DEPLETION,0,0,Yes
19,55,3,ENERGY_DEPLETION,0,0,Yes
19,57,0,ENERGY_DEPLETION,0,0,Yes
19,59,5,STOCHASTIC_FAILURE,3867.42,3,Yes
19,59,5,ENERGY_DEPLETION,0,0,Yes
19,63,6,ENERGY_DEPLETION,0,0,Yes
19,71,7,ENERGY_DEPLETION,0,0,Yes
20,32,9,STOCHASTIC_FAILURE,110890.09,4,Yes
20,32,9,ENERGY_DEPLETION,0,0,Yes
20,51,0,ENERGY_DEPLETION,0,0,Yes
20,53,2,ENERGY_DEPLETION,0,0,Yes
20,55,1,ENERGY_DEPLETION,0,0,Yes
20,55,3,ENERGY_DEPLETION,0,0,Yes
20,56,4,ENERGY_DEPLETION,0,0,Yes
20,57,5,ENERGY_DEPLETION,0,0,Yes
20,68,6,ENERGY_DEPLETION,0,0,Yes
20,70,7,ENERGY_DEPLETION,0,0,Yes
21,33,4,STOCHASTIC_FAILURE,48727.68,2,Yes
21,33,4,ENERGY_DEPLETION,0,0,Yes
21,54,0,ENERGY_DEPLETION,0,0,Yes
21,55,1,ENERGY_DEPLETION,0,0,Yes
21,55,2,ENERGY_DEPLETION,0,0,Yes
21,55,3,ENERGY_DEPLETION,0,0,Yes
21,56,12,STOCHASTIC_FAILURE,86972.07,8,Yes
21,56,12,ENERGY_DEPLETION,0,0,Yes
21,59,5,ENERGY_DEPLETION,0,0,Yes
21,67,6,ENERGY_DEPLETION,0,0,Yes
22,54,0,ENERGY_DEPLETION,0,0,Yes
22,55,2,ENERGY_DEPLETION,0,0,Yes
22,56,1,ENERGY_DEPLETION,0,4,Yes
22,56,4,ENERGY_DEPLETION,0,4,Yes
22,57,3,ENERGY_DEPLETION,0,0,Yes
22,60,5,ENERGY_DEPLETION,0,0,Yes
22,63,6,ENERGY_DEPLETION,0,4,Yes
22,70,7,ENERGY_DEPLETION,0,0,Yes
23,52,1,ENERGY_DEPLETION,0,0,Yes
23,53,0,ENERGY_DEPLETION,0,0,Yes
23,53,3,ENERGY_DEPLETION,0,5,Yes
23,55,2,ENERGY_DEPLETION,0,0,Yes
23,56,4,ENERGY_DEPLETION,0,0,Yes
23,59,5,ENERGY_DEPLETION,0,0,Yes
23,67,6,ENERGY_DEPLETION,0,0,Yes
23,67,7,ENERGY_DEPLETION,0,0,Yes
23,68,8,STOCHASTIC_FAILURE,17797.39,3,Yes
23,68,8,ENERGY_DEPLETION,0,0,Yes
24,17,2,STOCHASTIC_FAILURE,88585.24,3,Yes
24,17,2,ENERGY_DEPLETION,0,0,Yes
24,54,0,ENERGY_DEPLETION,0,0,Yes
24,55,3,ENERGY_DEPLETION,0,4,Yes
24,57,4,ENERGY_DEPLETION,0,0,Yes
24,58,7,STOCHASTIC_FAILURE,27804.64,8,Yes
24,58,1,ENERGY_DEPLETION,0,0,Yes
24,58,7,ENERGY_DEPLETION,0,0,Yes
24,60,5,ENERGY_DEPLETION,0,0,Yes
24,64,6,ENERGY_DEPLETION,0,4,Yes
25,33,2,STOCHASTIC_FAILURE,44314.14,4,Yes
25,33,2,ENERGY_DEPLETION,0,0,Yes
25,55,0,ENERGY_DEPLETION,0,0,Yes
25,57,3,ENERGY_DEPLETION,0,4,Yes
25,59,4,ENERGY_DEPLETION,0,0,Yes
25,60,1,ENERGY_DEPLETION,0,0,Yes
25,60,5,ENERGY_DEPLETION,0,2,Yes
